"","type","speaker","vowel","dur","f0","f1","f2","f3"
"1","b",1,"æ",257,238,630,2423,3166
"2","b",1,"ɑ",212,241,831,1676,2602
"3","b",1,"ɔ",242,247,725,1384,2642
"4","b",1,"ɛ",184,214,713,2095,3129
"5","b",1,"e",222,230,534,2690,3335
"6","b",1,"ɝ",227,240,608,1733,2159
"7","b",1,"ɪ",197,263,551,2393,3324
"8","b",1,"i",237,277,554,3022,3541
"9","b",1,"o",267,250,693,1235,2850
"10","b",1,"ʊ",184,247,553,1495,2868
"11","b",1,"ʌ",205,237,632,1573,2913
"12","b",1,"u",253,246,502,1540,3176
"13","b",2,"æ",359,286,829,2495,3218
"14","b",2,"ɑ",328,276,1020,1555,2742
"15","b",2,"ɔ",327,263,802,1287,2729
"16","b",2,"ɛ",195,284,674,2196,3047
"17","b",2,"e",324,277,556,2482,3428
"18","b",2,"ɝ",395,283,560,1687,1990
"19","b",2,"ɪ",239,289,563,2608,3476
"20","b",2,"i",317,287,344,3193,3579
"21","b",2,"o",336,258,557,1106,2808
"22","b",2,"ʊ",253,292,570,1148,2947
"23","b",2,"ʌ",161,269,731,1550,3363
"24","b",2,"u",327,287,559,1312,2870
"25","b",3,"æ",335,214,631,2801,3508
"26","b",3,"ɑ",298,214,982,1823,2865
"27","b",3,"ɔ",334,207,805,1299,2582
"28","b",3,"ɛ",260,191,735,2315,3286
"29","b",3,"e",286,201,608,2836,3599
"30","b",3,"ɝ",280,199,622,1837,2114
"31","b",3,"ɪ",284,228,571,2689,3572
"32","b",3,"i",277,219,441,3081,3975
"33","b",3,"o",310,211,624,1456,2933
"34","b",3,"ʊ",247,200,574,1808,2985
"35","b",3,"ʌ",226,210,823,1655,2926
"36","b",3,"u",304,194,506,2378,2991
"37","b",4,"æ",398,239,712,2608,3247
"38","b",4,"ɑ",357,250,932,1874,2994
"39","b",4,"ɔ",304,244,817,1329,2965
"40","b",4,"ɛ",364,245,735,2448,3359
"41","b",4,"e",323,252,574,2490,3189
"42","b",4,"ɝ",386,230,580,1990,2245
"43","b",4,"ɪ",268,249,513,2447,3454
"44","b",4,"i",318,260,509,2873,3475
"45","b",4,"o",322,250,685,1128,3181
"46","b",4,"ʊ",343,251,558,1742,3271
"47","b",4,"ʌ",293,241,756,1672,3183
"48","b",4,"u",292,258,503,1104,3346
"49","b",5,"æ",267,200,748,2589,3042
"50","b",5,"ɑ",270,227,1052,1659,3433
"51","b",5,"ɔ",236,199,780,1236,3360
"52","b",5,"ɛ",207,219,787,2176,3307
"53","b",5,"e",247,215,611,2761,3269
"54","b",5,"ɝ",228,224,573,1562,2227
"55","b",5,"ɪ",209,226,479,2449,3200
"56","b",5,"i",242,244,475,3203,3801
"57","b",5,"o",247,197,589,1050,3083
"58","b",5,"ʊ",197,218,543,1473,3166
"59","b",5,"ʌ",150,217,637,1424,3328
"60","b",5,"u",260,240,481,1226,3131
"61","b",6,"æ",323,262,769,2203,3126
"62","b",6,"ɑ",294,308,881,1543,3076
"63","b",6,"ɔ",378,301,891,1383,3039
"64","b",6,"ɛ",272,297,867,2054,3227
"65","b",6,"e",361,320,629,2663,3132
"66","b",6,"ɝ",375,294,612,1645,2306
"67","b",6,"ɪ",268,296,590,2354,3416
"68","b",6,"i",310,307,488,3063,4430
"69","b",6,"o",311,315,641,1243,3443
"70","b",6,"ʊ",281,305,624,1513,3061
"71","b",6,"ʌ",310,289,822,1489,3281
"72","b",6,"u",303,330,609,1658,2644
"73","b",7,"æ",316,216,870,2281,3077
"74","b",7,"ɑ",340,202,762,1604,2991
"75","b",7,"ɔ",353,207,610,993,2946
"76","b",7,"ɛ",135,205,605,2445,3265
"77","b",7,"e",285,223,606,2396,3015
"78","b",7,"ɝ",261,208,477,1809,2039
"79","b",7,"ɪ",205,215,447,2784,3287
"80","b",7,"i",241,220,434,3127,3566
"81","b",7,"o",341,248,554,896,2870
"82","b",7,"ʊ",200,218,469,1097,2801
"83","b",7,"ʌ",242,201,667,1442,2882
"84","b",7,"u",262,228,440,1124,3117
"85","b",8,"æ",245,220,709,2565,3526
"86","b",8,"ɑ",285,230,987,1610,3010
"87","b",8,"ɔ",313,238,845,1111,3049
"88","b",8,"ɛ",193,238,699,2202,3393
"89","b",8,"e",258,235,555,2377,3123
"90","b",8,"ɝ",262,241,505,1691,2074
"91","b",8,"ɪ",232,239,536,2319,3351
"92","b",8,"i",296,251,501,2760,3262
"93","b",8,"o",210,237,516,1181,3079
"94","b",8,"ʊ",222,237,615,1345,3346
"95","b",8,"ʌ",228,233,695,1423,3210
"96","b",8,"u",211,255,503,1119,3100
"97","b",9,"æ",396,205,634,2555,3121
"98","b",9,"ɑ",413,209,1123,1640,2684
"99","b",9,"ɔ",316,208,695,1288,3014
"100","b",9,"ɛ",234,218,646,2435,3262
"101","b",9,"e",314,197,580,2754,3405
"102","b",9,"ɝ",326,220,620,1823,2188
"103","b",9,"ɪ",263,209,529,2649,3280
"104","b",9,"i",266,222,424,3198,3818
"105","b",9,"o",316,209,623,1241,2770
"106","b",9,"ʊ",259,214,613,1561,2856
"107","b",9,"ʌ",248,203,612,1432,3046
"108","b",9,"u",275,215,463,1676,2976
"109","b",10,"æ",298,209,630,2509,3112
"110","b",10,"ɑ",282,203,832,1602,2551
"111","b",10,"ɔ",331,194,761,1310,2801
"112","b",10,"ɛ",282,214,794,2066,3160
"113","b",10,"e",309,210,571,2586,3293
"114","b",10,"ɝ",322,211,586,1681,2069
"115","b",10,"ɪ",227,197,522,2387,3297
"116","b",10,"i",254,207,429,2984,3348
"117","b",10,"o",270,198,591,1168,2769
"118","b",10,"ʊ",271,213,593,1507,2997
"119","b",10,"ʌ",266,213,699,1454,2765
"120","b",10,"u",246,197,430,1448,2896
"121","b",11,"æ",415,252,736,2505,3332
"122","b",11,"ɑ",425,258,968,1808,3600
"123","b",11,"ɔ",369,251,985,1630,2989
"124","b",11,"ɛ",363,249,742,2355,3514
"125","b",11,"e",357,260,554,2620,3604
"126","b",11,"ɝ",366,263,523,1874,2284
"127","b",11,"ɪ",305,262,548,2592,3485
"128","b",11,"i",349,262,516,3126,3621
"129","b",11,"o",403,261,716,1206,2864
"130","b",11,"ʊ",325,268,588,1578,3113
"131","b",11,"ʌ",298,254,762,1721,3234
"132","b",11,"u",313,258,503,1255,3105
"133","b",12,"æ",281,216,634,2535,3260
"134","b",12,"ɑ",273,211,933,1694,2860
"135","b",12,"ɔ",322,210,875,1402,2830
"136","b",12,"ɛ",258,227,640,2244,3086
"137","b",12,"e",280,242,532,2673,3363
"138","b",12,"ɝ",255,193,574,1751,2078
"139","b",12,"ɪ",253,223,491,2409,3166
"140","b",12,"i",234,239,476,2772,3371
"141","b",12,"o",259,218,586,1217,3041
"142","b",12,"ʊ",244,227,626,1578,2786
"143","b",12,"ʌ",250,211,639,1454,3098
"144","b",12,"u",233,209,435,1312,2715
"145","b",13,"æ",314,198,697,2418,3371
"146","b",13,"ɑ",263,201,998,1560,2745
"147","b",13,"ɔ",243,206,950,1246,2853
"148","b",13,"ɛ",168,200,806,2172,3430
"149","b",13,"e",260,203,436,2658,3519
"150","b",13,"ɝ",283,213,619,1498,1696
"151","b",13,"ɪ",177,221,470,2505,3377
"152","b",13,"i",327,203,421,3337,3578
"153","b",13,"o",263,203,623,1044,3142
"154","b",13,"ʊ",179,212,494,1245,3037
"155","b",13,"ʌ",215,210,697,1305,3167
"156","b",13,"u",263,206,418,940,2567
"157","b",14,"æ",382,272,607,2620,3350
"158","b",14,"ɑ",340,287,871,2042,3410
"159","b",14,"ɔ",312,258,750,1251,3003
